"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcified","log1p_avg_controls"
"50","CHSY1",1.73513756613184e-286,0.416920618218869,0.447,0.327,3.47027513226368e-283,0.541489671753409,1.13158564594035
"51","CLIP2",9.16780365177061e-49,0.270784269256621,0.503,0.268,1.83356073035412e-45,0.598570321673525,0.916003572549928
"52","CMIP",4.0795926958655e-178,0.3908264055127,0.462,0.297,8.15918539173101e-175,0.758933747223483,1.18728683140768
"53","CNTNAP3B",9.02950627782512e-20,0.463127891452817,0.56,0.345,1.80590125556502e-16,0.714596591951028,0.981238110533678
"54","COL15A1",1.83970427856764e-60,0.305873822227328,0.704,0.392,3.67940855713529e-57,1.21566210400908,1.3912242468719
"55","COL6A3",1.09433367110674e-34,0.255510625631143,0.542,0.335,2.18866734221348e-31,0.839244650065533,1.19410522810218
"56","CPNE8",0,0.379744978481795,0.446,0.376,0,0.63622992337811,1.1834407410775
"57","CREM",0,0.299813788273866,0.441,0.33,0,0.487951862732612,0.887674644243544
"58","CRIM1",8.14655375501039e-50,-0.45459321820532,0.845,0.78,1.62931075100208e-46,2.72048620616761,2.77149370386849
"59","CRISPLD2",2.40515645316429e-197,0.814717727305939,0.442,0.282,4.81031290632857e-194,0.451533844903729,1.9978090726744
"60","CTSB",6.13875142945263e-26,0.335731270399788,0.511,0.262,1.22775028589053e-22,0.540409022724765,0.961452475785469
"61","CTSZ",5.43899990102447e-138,0.290308536643309,0.47,0.28,1.08779998020489e-134,0.563085164727479,0.977052762430417
"62","CXCL12",8.48447025297494e-14,0.314409796272792,0.563,0.335,1.69689405059499e-10,0.592630610856912,0.966186134551414
"63","CYP1B1",3.10562713794642e-176,0.361701351689843,0.466,0.288,6.21125427589284e-173,0.194603160955997,0.593872151244427
"64","CYTH1",0,0.428925627543609,0.372,0.302,0,0.479829736612578,1.07349296861223
"65","CYTOR",6.48360822858552e-50,0.271422668676564,0.617,0.283,1.2967216457171e-46,0.545055138405642,0.771038079288406
"66","DEPP1",6.19405912360335e-257,0.276678230161609,0.395,0.192,1.23881182472067e-253,0.405212121609877,0.598719784681656
"67","DHRS3",2.11180408170937e-302,-0.2841669630945,0.816,0.404,4.22360816341875e-299,1.00882882384337,0.710917622643668
"68","DNAJA1",1.11519535834733e-52,0.297687245872086,0.543,0.332,2.23039071669466e-49,0.385051698223715,0.699662221522794
"69","DPYSL3",1.0763447097453e-57,0.320727018338767,0.585,0.497,2.1526894194906e-54,1.17012009143691,1.78059785566665
"70","DUSP6",4.61829412466018e-07,0.305495278082684,0.579,0.334,0.000923658824932036,0.325799054315343,0.641477751993395
"71","ELK3",4.87229005270593e-221,0.283558467767765,0.474,0.341,9.74458010541185e-218,0.52158303107777,0.779536702794123
"72","ELL2",5.7586442902711e-44,0.253325038291534,0.563,0.458,1.15172885805422e-40,1.11518545123088,2.02574257156684
"73","ELMO1",0.133241913969792,0.296623860082541,0.656,0.426,1,1.27439439146891,1.374844060089
"74","ELOVL5",3.13597166120353e-37,0.365855110933449,0.543,0.394,6.27194332240706e-34,0.678677770711449,1.61877174474936
"75","ELOVL7",0,0.377113496794511,0.213,0.206,0,0.11168957126764,0.673250182583056
"76","EMCN",2.61081404566385e-125,0.253404350493294,0.501,0.323,5.22162809132769e-122,0.675376622411231,0.730566330323461
"77","ERCC1",2.51289917990865e-79,0.276267796297499,0.563,0.475,5.0257983598173e-76,0.816751025611183,1.36700598113076
"78","ESR1",0,-0.26149778625395,0.92,0.469,0,0.975910931663783,0.632096663238588
"79","ETS1",1.17642973449275e-197,0.409765974815599,0.476,0.353,2.3528594689855e-194,0.650087420213292,1.26781670532133
"80","EXT1",7.28852801971205e-13,-0.288978746993409,0.912,0.826,1.45770560394241e-09,3.04461516229998,2.93684525877687
"81","F2R",0,0.321335257338444,0.397,0.264,0,0.373337705476908,0.668702147582206
"82","FAM20C",0.500828978935159,0.365525523702401,0.541,0.245,1,0.343213439663777,0.716004371136977
"83","FGF14",0,-0.444076927855614,0.936,0.425,0,1.26144650085171,0.744764889977568
"84","FLI1",2.65921157102124e-16,0.270268015462869,0.563,0.343,5.31842314204248e-13,0.769995504533965,0.812954838014374
"85","FLNC",0,0.250762952027376,0.299,0.224,0,0.714709271587348,1.12720979187696
"86","FLT1",0,0.525022136333812,0.375,0.334,0,0.463779533712223,1.14997092888989
"87","FOS",3.00152983767822e-60,-0.324216949313374,0.947,0.657,6.00305967535645e-57,1.81765866980204,3.4025202479834
"88","FOSL1",0,0.448032204993826,0.258,0.221,0,0.0974200506382556,0.724919465195831
"89","FTL",2.66171407358674e-07,0.28253525047506,0.766,0.604,0.000532342814717348,1.64832004629876,1.89364269832821
"90","GAS6",2.3794126807307e-07,0.376219569927351,0.711,0.495,0.000475882536146139,1.19066257157403,1.5003460930098
"91","GFPT2",0,0.383687476357337,0.434,0.303,0,0.224725951660503,0.78870798634188
"92","GLDN",0,-0.288901249232824,0.913,0.409,0,1.06991024901036,0.590414894601483
