"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcified","log1p_avg_controls"
"129","BCL7C",0.0961101127210806,0.28479797008285,0.132,0.126,1,0.784101066191247,0.586694156199124
"130","BGN",6.91556732525897e-53,0.811057346949734,0.485,0.391,1.52432934983358e-48,2.13718565386558,1.57500354055494
"131","BICC1",4.79296003542641e-30,-0.374754614800176,0.169,0.281,1.05646425100869e-25,1.19450164020493,1.4542617448555
"132","BICD1",1.29740866174282e-29,-0.315400849206347,0.189,0.305,2.85974817221353e-25,1.05639126540461,1.2750104747782
"133","BIN3",3.46648892540832e-35,-0.329797280219936,0.043,0.116,7.64083488938502e-31,0.297889355202309,0.526487410143096
"134","BMPR1A",0.983723728739098,0.255782207774987,0.351,0.397,1,1.68422857925629,1.50693386309966
"135","BNC2",0.000898105987168164,-0.496501857656625,0.238,0.264,1,1.42745710022321,1.77160596300068
"136","BSG",2.88253495678101e-06,0.489424489470943,0.144,0.117,0.063536835517367,0.905413649904203,0.566170444930428
"137","BTBD2",0.0427898296534179,0.330525217618991,0.107,0.098,1,0.676793913160801,0.447691290464234
"138","BTBD7",1.51565040185908e-32,-0.272981125145167,0.147,0.259,3.34079661577778e-28,0.864324281312679,1.05354037855313
"139","BTG1",7.66870103580926e-36,-0.388845036386071,0.041,0.114,1.69033508231308e-31,0.284638786617165,0.554165627262899
"140","C11orf58",3.45548436178961e-102,-0.78281244816449,0.116,0.312,7.61657863025666e-98,0.695357325439998,1.23796156679244
"141","C12orf75",0.000625875264088051,0.459695126578457,0.262,0.258,1,1.36628400804652,1.04764762714151
"142","C1orf21",1.02288132152952e-17,-0.334358833989312,0.071,0.126,2.25463500891536e-13,0.506316356215933,0.738076239290936
"143","C1orf54",3.65796763471772e-38,-0.3509781302468,0.032,0.103,8.06289226044481e-34,0.223483729680059,0.466763231098829
"144","C1QTNF1",1.55747196632994e-10,0.582181331355656,0.184,0.146,3.43297970818445e-06,1.06079425797103,0.657256909567217
"145","C2CD5",1.24112741355868e-33,-0.288212282183113,0.107,0.208,2.73569304496605e-29,0.633347493711745,0.833121024509717
"146","C2orf40",9.18940088786e-38,-0.470598488231116,0.045,0.124,2.0255277437021e-33,0.36222448780081,0.688418503093981
"147","C7",2.09241070494764e-36,-0.723881236625364,0.057,0.138,4.6120916758456e-32,0.548082408592134,1.04983864681925
"148","C8orf34",6.2310429826496e-77,-0.834999323373592,0.021,0.128,1.37344649423562e-72,0.16945096717585,0.748228393941717
"149","C9orf3",8.71015523614028e-69,-0.486042970422336,0.444,0.651,1.91989241715004e-64,1.93498868405627,2.2718879986355
"150","CACNA1H",0.0672788223259591,0.348719682214701,0.11,0.103,1,0.681254794065368,0.439540729532487
"151","CACNB2",1.24983611885159e-23,0.548980476516902,0.487,0.431,2.75488877317267e-19,2.31644030800394,1.93591603852379
"152","CADM2",5.92247101391591e-30,-1.70384002437423,0.04,0.101,1.30543106088734e-25,0.41078010695343,1.59179201597361
"153","CADPS2",3.02491626712239e-61,-0.578319817935337,0.135,0.289,6.66752043599117e-57,0.861309619960229,1.26217037122405
"154","CALCRL",1.12811536202003e-130,-1.08875874071224,0.066,0.264,2.48659188096455e-126,0.462092199869085,1.21676225130377
"155","CALD1",2.6416792400486e-31,0.268187012235227,0.897,0.882,5.82278938091512e-27,3.44408822231022,3.25819515091658
"156","CALM3",0.00620946585493443,0.420680679757976,0.124,0.112,1,0.846527052942206,0.554933425851924
"157","CAMK2D",7.71754585111545e-49,-0.368303343843764,0.284,0.467,1.70110145650287e-44,1.40916278692669,1.6644512113028
"158","CAMK2G",1.1867131074169e-12,0.526804631548871,0.432,0.418,2.61575303136834e-08,1.97873631249952,1.6135831674355
"159","CAPNS1",1.11940849058286e-07,0.543158024848654,0.156,0.126,0.00246740019494274,0.966829354199568,0.590340900677213
"160","CARMIL1",6.09428025639126e-38,-0.288253363267063,0.28,0.438,1.34330125411376e-33,1.43688743428156,1.63668944031704
"161","CARMN",2.71333345997265e-58,0.359445982476972,0.824,0.644,5.98072961247171e-54,3.69062070273229,3.44147173341477
"162","CASC15",3.63621408568777e-140,-1.19242230084517,0.06,0.265,8.01494308767298e-136,0.4864674114088,1.31299156727644
"163","CASC3",0.41836299398283,0.264332021431951,0.109,0.12,1,0.71309985899386,0.529878863606592
"164","CAT",6.40517324031851e-24,-0.2521431638368,0.052,0.113,1.41182828563101e-19,0.348279633589282,0.523051956700224
"165","CAVIN1",2.57007883317777e-161,1.10526998750746,0.653,0.483,5.66496776409044e-157,2.53447750680323,1.76836273120491
"166","CAVIN3",0.0297150416491684,0.400978776972988,0.168,0.162,1,1.05539309745376,0.777455788730555
"167","CBLB",3.01225281709813e-55,-0.437800147851102,0.153,0.307,6.6396076594477e-51,0.913007081028522,1.21646701916024
"168","CBR4",1.24518042323059e-33,-0.274661471734743,0.104,0.203,2.74462668888486e-29,0.661074715721743,0.851455540463124
"169","CC2D2A",4.52678073095859e-39,-0.327207032045142,0.101,0.208,9.97793008717892e-35,0.632887834671516,0.859690466392995
"170","CCDC102B",5.52673717889272e-101,-1.31779787860323,0.059,0.218,1.21820340897153e-96,0.447517646282363,1.36094553038407
"171","CCDC107",1.02815427167725e-17,0.72969166778238,0.164,0.111,2.26625764563101e-13,1.00278443449318,0.497000712291739
"172","CCDC146",5.05041561741503e-25,-0.292145759913836,0.064,0.132,1.11321261039062e-20,0.441031703178404,0.643531712975223
"173","CCDC6",7.17966345887707e-37,-0.268297456745332,0.11,0.218,1.58254141960568e-32,0.674411031939153,0.860380657633583
"174","CCDC80",5.40176423625062e-23,-0.357954154677944,0.128,0.213,1.19065687295436e-18,0.990132580209106,1.23824749329384
"175","CCDC84",0.320256260656252,0.307322058435849,0.12,0.119,1,0.709543686823616,0.496524268494929
"176","CCND1",0.771447488760138,0.259822595825609,0.113,0.12,1,0.754365334329786,0.574270034587498
"177","CCNI",0.0119858876374965,0.423052469064134,0.33,0.349,1,1.59774497777259,1.30450735161186
"178","CCNT2",1.99935153550887e-29,-0.25520460368673,0.071,0.151,4.40697065456864e-25,0.424163605246092,0.601057956757467
"179","CCNY",8.99359482873621e-36,-0.278737110077709,0.212,0.351,1.98236817215004e-31,1.12221231920164,1.31541816116943
"180","CCSER1",6.04210364479133e-10,-0.318481485653031,0.077,0.116,1.33180048538491e-05,0.624241934678475,0.844996478519416
"181","CD151",2.11420328846639e-45,0.933036171458839,0.355,0.257,4.66012688843761e-41,1.70439668144465,1.05766528983751
"182","CD34",1.035386429829e-20,-0.377646478422262,0.054,0.11,2.28219876862907e-16,0.402927862991671,0.664692454758454
"183","CD44",5.40863274713539e-139,-1.0085249660644,0.082,0.299,1.19217083012358e-134,0.558400567188316,1.25745680394017
"184","CD9",2.15026618875663e-33,-0.296436827165406,0.103,0.201,4.73961673325737e-29,0.65511626553894,0.860590616502777
"185","CDC37",0.331482720977327,0.27982247942684,0.101,0.098,1,0.677983730850217,0.484025568178209
"186","CDH11",9.49651353092159e-38,-0.28483867900768,0.122,0.237,2.09322151248574e-33,0.808274147770159,1.00570927503875
"187","CDH13",7.0755685168166e-19,-0.331706031062333,0.395,0.493,1.55959681247671e-14,1.9843769148701,2.21429801507569
